Country,Date,log_share,log_price,TAVG,share,q_imported
brazil,2023-06,-2.5587888775662515,-2.555110382592476,27.81,0.0773984226675562,2180741.454311
brazil,2023-07,-2.2908774018106373,-2.948098915308003,29.38,0.1011776494446778,3289553.79771
brazil,2023-08,-2.3350322420982206,-2.697692793689064,29.93,0.096807361203693,2464753.545994
brazil,2023-09,-2.3089475072422068,-2.250209768330045,27.92,0.099365778305214,1597276.214421
brazil,2023-10,-2.2602266190990883,-2.272942615075224,24.47,0.104326839621241,1998079.0
brazil,2023-11,-2.162757766168796,-1.828831750066085,21.09,0.1150075194575855,1453302.814446
brazil,2023-12,-2.3940471506996004,-2.299996215537458,18.38,0.0912595941479046,1849689.381854
brazil,2024-01,-2.336878454242789,-2.366139295222042,16.78,0.0966287991601808,2615984.754797
brazil,2024-02,-2.2319609326838346,-1.9841397860483991,17.55,0.1073177807248577,1881019.672727
brazil,2024-03,-2.534747021847138,-1.9528084030728456,22.07,0.0792817732845712,1404570.063425
brazil,2024-04,-2.2308379734737485,-2.717016250126449,22.54,0.1074383619063314,4039104.84115
brazil,2024-05,-2.482636296099123,-2.249118561138294,27.47,0.0835227444077788,1649224.56872
brazil,2024-06,-2.188793425764382,-2.175941682643288,28.49,0.1120518659809173,1853703.947137
brazil,2024-07,-2.042830577207064,-2.315036862424376,29.72,0.1296611749879033,2312006.52834
brazil,2024-08,-1.9238916986429249,-2.2978021425234765,29.06,0.1460375207805456,2761064.0
brazil,2024-09,-2.096153610968813,-2.229508380075197,28.43,0.1229283503315368,2227226.384758
brazil,2024-10,-2.036389932105217,-2.0359452214138143,24.9,0.130498971678951,2263978.415008
brazil,2024-11,-1.878985399869392,-2.199530512754847,21.89,0.1527450022638346,3201908.106402
brazil,2024-12,-1.7461056873991243,-2.7733003998515,17.76,0.174451992919501,7125424.544
brazil,2025-01,-2.041016557078568,-2.146352281155351,13.64,0.1298965964342792,16764251.368691
brazil,2025-02,-2.0312411301752578,-2.228307932487456,20.37,0.131172617783165,3829766.462396
canada,2010-01,-2.2087380245570296,-3.531413077179768,12.41,0.1098391754304136,12165864.914676
canada,2010-02,-2.089391751920616,-3.545473398990703,12.58,0.1237623911649004,14411554.083045
canada,2010-03,-2.2284574827886736,-3.463708364449011,16.05,0.1076944225801745,10757505.591054
canada,2010-04,-2.164864211454354,-3.4985695801282883,21.74,0.1147655173819685,14490445.596026
canada,2010-05,-2.031858969618538,-3.415891795661594,26.1,0.1310915991968367,3159261.067073
canada,2010-06,-2.104985070401517,-3.43104431209965,28.58,0.1218474933896534,3542374.62963
canada,2010-07,-1.645771380648146,-3.4034183474798603,28.9,0.1928637340471608,3866303.003003
canada,2010-08,-1.5389848492198115,-3.425896418564925,28.82,0.2145988410699344,4489575.538462
canada,2010-09,-1.6088632085520078,-3.465980574040397,27.65,0.2001149738112018,3943776.602564
canada,2010-10,-1.5299397358293692,-3.484034556995266,23.48,0.2165487170516216,5020953.029316
canada,2010-11,-1.8259899526246064,-3.359932691593524,19.83,0.1610581252709216,3653443.112392
canada,2010-12,-2.111456530554161,-3.410720557617504,11.12,0.1210615081705688,3188324.909091
canada,2011-01,-2.245559025281487,-3.4603925650248764,15.22,0.1058683407490559,3510235.764331
canada,2011-02,-2.232820762840761,-3.453451314742656,18.95,0.10722554531969,3265346.012658
canada,2011-03,-2.222003007731253,-3.4923780643092783,20.53,0.1083917816669463,4099321.118421
canada,2011-04,-2.2999889753114204,-3.4956147779587323,24.26,0.100259949051426,3503406.171617
canada,2011-05,-2.1807314945971124,-3.532277978223789,25.72,0.1129588716075408,4082994.657534
canada,2011-06,-2.167184584734848,-3.560983752755588,28.14,0.1144995272594438,4293858.556338
canada,2011-07,-1.9201393558884072,-3.4060726884003287,28.52,0.1465865330103879,3606187.409639
canada,2011-08,-1.599658547375807,-3.435129920040308,28.75,0.2019654678614267,5483819.534161
canada,2011-09,-1.7746332219969445,-3.479649299925633,27.41,0.1695456237019963,4963796.720779
canada,2011-10,-1.784828509904725,-3.5990201535582886,22.31,0.1678258390016642,6343761.386861
canada,2011-11,-1.925635751484185,-3.512503819008015,20.34,0.1457830456010811,5018019.194631
canada,2011-12,-2.1749371969002973,-3.53773888766846,18.79,0.1136152888390187,4469165.395189
canada,2012-01,-2.2409769410971405,-3.552171195700876,15.65,0.1063545514773834,4902900.139373
canada,2012-02,-2.079740612557937,-3.5953930757057826,19.45,0.124962621729892,4849317.007299
canada,2012-03,-2.150742421513175,-3.531377608131557,22.06,0.1163977095233129,4587121.331058
canada,2012-04,-2.106812876571317,-3.563542071971251,22.69,0.1216249832041543,4571052.720848
canada,2012-05,-2.153172757127646,-3.527393584503794,25.8,0.1161151674994574,4438229.047619
canada,2012-06,-2.067467611134671,-3.4339553209739773,26.52,0.1265057381296451,3988656.811146
canada,2012-07,-1.7252670065609637,-3.399782332328162,28.33,0.1781254847497243,4441237.125749
canada,2012-08,-1.542091737100067,-3.389370298683515,28.02,0.2139331411944212,5583235.727003
canada,2012-09,-1.5626341698603343,-3.5711143544369794,27.15,0.20958326550714,5888511.886121
canada,2012-10,-1.453682254170776,-3.6483846155336974,24.08,0.233708128990768,8142818.153846
canada,2012-11,-1.6191972840289577,-3.6385678254246936,18.15,0.1980576193053843,6466878.288973
canada,2012-12,-1.993418493906673,-3.5147207999725243,18.34,0.1362289307754537,4368432.38255
canada,2013-01,-2.08059786228315,-3.650084928717068,19.0,0.1248555434597184,5304296.153846
canada,2013-02,-2.2113339847133355,-3.672464961969585,18.39,0.1095544070909477,4912651.968504
canada,2013-03,-2.102447191979305,-3.6675700444196986,16.43,0.1221571202453979,5748450.588235
